iteration mysql_read mysql_write bdb_read bdb_write 
0 0.319091 0.728481 0.011305 0.037068
1 0.325626 0.715679 0.011239 0.036351
2 0.329891 0.713859 0.010313 0.037551
3 0.332766 0.719195 0.010238 0.037744
4 0.331849 0.719893 0.010281 0.037336
5 0.333529 0.717491 0.010175 0.037361
6 0.333797 0.723071 0.012379 0.036058
7 0.335924 0.69549 0.01016 0.036544
8 0.334911 0.713659 0.012269 0.037196
9 0.337935 0.716043 0.010328 0.037536
10 0.337794 0.71233 0.012511 0.03821
11 0.341697 0.720871 0.010039 0.036947
12 0.339061 0.71363 0.010725 0.039676
13 0.339897 0.715631 0.012186 0.041281
14 0.341767 0.717193 0.013394 0.040258
15 0.342904 0.713955 0.018164 0.040352
16 0.346616 0.71457 0.020235 0.036475
17 0.345737 0.714359 0.022011 0.037468
18 0.348279 0.714531 0.023303 0.041328
19 0.348621 0.717114 0.026158 0.042197
20 0.354633 0.713568 0.027615 0.042293
21 0.354742 0.715244 0.031964 0.042478
22 0.361129 0.714366 0.033699 0.041161
23 0.355344 0.711851 0.04043 0.041966
24 0.352243 0.71231  0.050028 0.04162
25 0.355327 0.710956 0.054663 0.041196
26 0.356708 0.713746 0.076536 0.0412
27 0.3583 0.713743 0.086972 0.041114
28 0.358209 0.710269 0.099611 0.039874
29 0.361202 0.713355 0.127542 0.044645
30 0.361751 0.70965 0.116332 0.040511
31 0.365049 0.713001 0.14199 0.039993
32 0.364881 0.713097 0.152761 0.040192
33 0.367435 0.712269 0.169182 0.04073
34 0.381442 0.711383 0.175685 0.039834
35 0.385015 0.712406 0.185551 0.039727
36 0.375278 0.711623 0.193215 0.039797
37 0.398161 0.710606 0.197572 0.039458
38 0.390441 0.709892 0.211285 0.039569
39 0.395921 0.711092 0.209876 0.039889
40 0.406166 0.713424 0.219025 0.040035
41 0.41398 0.711606 0.228623 0.040091
42 0.409256 0.710502 0.232878 0.03931
43 0.384877 0.711384 0.251163 0.040319
44 0.383738 0.710041 0.24312 0.039848
45 0.384468 0.711393 0.2502 0.039203
46 0.386492 0.712419 0.250237 0.039744
47 0.385754 0.714293 0.259647 0.039462
48 0.387419 0.713342 0.265265 0.03945
49 0.395982 0.712422 0.268835 0.039828
50 0.412102 0.716525 0.281755 0.042963
