iteration read write
0 0.319091 0.728481
1 0.325626 0.715679
2 0.329891 0.713859
3 0.332766 0.719195
4 0.331849 0.719893
5 0.333529 0.717491
6 0.333797 0.723071
7 0.335924 0.69549
8 0.334911 0.713659
9 0.337935 0.716043
10 0.337794 0.71233
11 0.341697 0.720871
12 0.339061 0.71363
13 0.339897 0.715631
14 0.341767 0.717193
15 0.342904 0.713955
16 0.346616 0.71457
17 0.345737 0.714359
18 0.348279 0.714531
19 0.348621 0.717114
20 0.354633 0.713568
21 0.354742 0.715244
22 0.361129 0.714366
23 0.355344 0.711851
24 0.352243 0.71231
25 0.355327 0.710956
26 0.356708 0.713746
27 0.3583 0.713743
28 0.358209 0.710269
29 0.361202 0.713355
30 0.361751 0.70965
31 0.365049 0.713001
32 0.364881 0.713097
33 0.367435 0.712269
34 0.381442 0.711383
35 0.385015 0.712406
36 0.375278 0.711623
37 0.398161 0.710606
38 0.390441 0.709892
39 0.395921 0.711092
40 0.406166 0.713424
41 0.41398 0.711606
42 0.409256 0.710502
43 0.384877 0.711384
44 0.383738 0.710041
45 0.384468 0.711393
46 0.386492 0.712419
47 0.385754 0.714293
48 0.387419 0.713342
49 0.395982 0.712422
50 0.412102 0.716525
51 0.421955 0.712634
52 0.44112 0.712534
53 0.45763 0.71367
54 0.434515 0.709639
55 0.397431 0.713231
56 0.405993 0.712018
57 0.396314 0.719061
58 0.552356 0.844958
59 0.416553 0.80811
60 0.399842 0.724773
61 0.397021 0.716033
62 0.396704 0.717144
63 0.397634 0.717029
64 0.415113 0.721675
65 0.399429 0.715565
66 0.416522 0.688227
67 0.428976 0.709962
68 0.44743 0.719671
69 0.502811 0.72138
70 0.534208 0.718442
71 0.51943 0.716998
72 0.502337 0.717151
73 0.437373 0.709863
74 0.437609 0.714754
75 0.411354 0.715369
76 0.406582 0.721146
77 0.404725 0.716764
78 0.425924 0.715506
79 0.452005 0.714124
80 0.443525 0.714925
81 0.533799 0.718388
82 0.53268 0.713751
83 0.521113 0.715251
84 0.560609 0.716595
85 0.586942 0.714374
86 0.566486 0.727506
87 0.651299 0.713563
88 0.719565 0.716946
89 0.497611 0.713228
90 0.432039 0.719013
91 0.421793 0.723553
92 0.419151 0.7165
93 0.472273 0.717144
94 0.523308 0.711913
95 0.644332 0.710295
96 0.760873 0.711291
97 0.808245 0.713223
98 0.924707 0.712812
99 1.003532 0.711072
